time,Ca,Cb,Cc,Cd
3.932999999999678,0.0005523471707794277,0.016351123508507762,0.5660102136793215,0.008543157820695294
3.9339999999996778,0.0005525318849824693,0.01634014014629444,0.5660211747338315,0.008543076617445395
3.9349999999996776,0.0005527166274219815,0.01632916966800519,0.5660321229279406,0.008542995388315738
3.9359999999996775,0.0005529013980958053,0.0163182120609768,0.5660430582743204,0.008542914133303112
3.9369999999996774,0.0005530861970017811,0.016307267312558712,0.5660539807856302,0.008542832852404309
3.9379999999996773,0.0005532710241377489,0.01629633541011302,0.5660648904745162,0.00854275154561612
3.938999999999677,0.0005534558795015477,0.01628541634101444,0.5660757873536126,0.008542670212935335
3.939999999999677,0.0005536407630910159,0.016274510092650317,0.5660866714355405,0.008542588854358749
3.940999999999677,0.0005538256749039917,0.016263616652420602,0.5660975427329084,0.008542507469883154
3.941999999999677,0.0005540106149383123,0.016252736007737835,0.5661084012583124,0.008542426059505346
3.9429999999996768,0.0005541955831918141,0.016241868146027138,0.566119247024336,0.008542344623222117
3.9439999999996767,0.0005543805796623335,0.016231013054726205,0.5661300800435501,0.008542263161030265
3.9449999999996765,0.0005545656043477056,0.016220170721285287,0.566140900328513,0.008542181672926585
3.9459999999996764,0.0005547506572457653,0.016209341133167177,0.5661517078917705,0.008542100158907875
3.9469999999996763,0.0005549357383543467,0.016198524277847196,0.5661625027458558,0.008542018618970932
3.947999999999676,0.0005551208476712833,0.016187720142813188,0.5661732849032896,0.008541937053112555
3.948999999999676,0.000555305985194408,0.016176928715565503,0.5661840543765801,0.008541855461329543
3.949999999999676,0.000555491150921553,0.016166149983616984,0.5661948111782232,0.008541773843618695
3.950999999999676,0.00055567634485055,0.016155383934492954,0.566205555320702,0.008541692199976813
3.9519999999996758,0.0005558615669792298,0.016144630555731204,0.5662162868164874,0.008541610530400697
3.9529999999996757,0.0005560468173054229,0.016133889834881985,0.5662270056780375,0.00854152883488715
3.9539999999996756,0.000556232095826959,0.01612316175950799,0.5662377119177984,0.008541447113432974
3.9549999999996754,0.0005564174025416672,0.016112446317184344,0.5662484055482033,0.008541365366034972
3.9559999999996753,0.000556602737447376,0.016101743495498585,0.5662590865816735,0.00854128359268995
3.956999999999675,0.000556788100541913,0.016091053282050665,0.5662697550306173,0.008541201793394711
3.957999999999675,0.0005569734918231057,0.016080375664452928,0.5662804109074311,0.008541119968146061
3.958999999999675,0.0005571589112887805,0.016069710630330098,0.5662910542244988,0.008541038116940807
3.959999999999675,0.0005573443589367634,0.01605905816731927,0.5663016849941918,0.008540956239775755
3.960999999999675,0.0005575298347648798,0.016048418263069898,0.566312303228869,0.008540874336647715
3.9619999999996747,0.0005577153387709542,0.016037790905243772,0.5663229089408776,0.008540792407553493
3.9629999999996746,0.0005579008709528108,0.01602717608151502,0.5663335021425516,0.0085407104524899
3.9639999999996745,0.0005580864313082729,0.016016573779570095,0.5663440828462134,0.008540628471453744
3.9649999999996743,0.0005582720198351634,0.016005983987107748,0.5663546510641727,0.008540546464441837
3.9659999999996742,0.0005584576365313044,0.015995406691839027,0.5663652068087269,0.008540464431450989
3.966999999999674,0.0005586432813945174,0.015984841881487268,0.5663757500921615,0.008540382372478013
3.967999999999674,0.0005588289544226234,0.015974289543788076,0.5663862809267491,0.008540300287519722
3.968999999999674,0.0005590146556134426,0.01596374966648931,0.5663967993247506,0.008540218176572929
3.969999999999674,0.0005592003849647947,0.01595322223735108,0.5664073052984144,0.008540136039634447
3.9709999999996737,0.0005593861424744986,0.015942707244145725,0.5664177988599768,0.008540053876701093
3.9719999999996736,0.0005595719281403727,0.01593220467465781,0.5664282800216617,0.008539971687769682
3.9729999999996735,0.0005597577419602348,0.01592171451668411,0.5664387487956808,0.00853988947283703
3.9739999999996733,0.000559943583931902,0.01591123675803359,0.5664492051942338,0.008539807231899954
3.9749999999996732,0.0005601294540531908,0.01590077138652741,0.5664596492295081,0.008539724964955272
3.975999999999673,0.000560315352321917,0.01589031838999889,0.5664700809136788,0.008539642671999803
